Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Average Score,Median Score,Average Move Count,Median Moves
merge-mnmx(d=3),2000,262.174,1047.09,100.0,100.0,100.0,100.0,100.0,99.7,88.15,32.9,0.1,0.0,0.0,0.0,0.0,0.0,8422.38,7148,540.8345,491
merge-mnmx(d=4),500,2006.62,8013.73,100.0,100.0,100.0,100.0,100.0,100.0,93.4,42.6,1.6,0.0,0.0,0.0,0.0,0.0,9505.768,7300,594.794,502
merge-mnmx(d=5),500,55366.9,220556,100.0,100.0,100.0,100.0,100.0,100.0,95.0,48.0,0.6,0.0,0.0,0.0,0.0,0.0,9963.352,7622,617.964,520.5
merge-expmx(d=-1),500,9079.86,36066.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,61.2,3.8,0.0,0.0,0.0,0.0,25985.872,27200,1371.18,1416.5
merge-expmx(d=0),500,363.514,1452.07,100.0,100.0,100.0,100.0,100.0,100.0,99.0,87.6,30.6,0.2,0.0,0.0,0.0,0.0,18360.312,16068,1022.32,941
merge-expmx(d=1),200000,13.284,53.136,100.0,100.0,99.9985,99.867,94.955,59.5135,12.2815,0.082,0.0,0.0,0.0,0.0,0.0,0.0,3019.9463,2840,255.4556,246
merge-expmx(d=2),10000,63.249,252.929,100.0,100.0,100.0,100.0,99.98,99.09,82.89,26.07,0.09,0.0,0.0,0.0,0.0,0.0,7687.824,7088,503.4042,484
merge-expmx(d=3),2000,998.475,3991.48,100.0,100.0,100.0,100.0,100.0,99.9,97.45,70.15,7.65,0.0,0.0,0.0,0.0,0.0,13016.104,12878,772.412,774.5
merge-expmx(d=4),500,6873.66,27432.7,100.0,100.0,100.0,100.0,100.0,100.0,99.4,92.2,35.2,0.2,0.0,0.0,0.0,0.0,19705.152,16218,1089.2,961.5
score-rnd_t(d=1 t=1),200000,2.737,10.948,100.0,100.0,99.9985,99.7645,92.9485,53.2875,6.4305,0.012,0.0,0.0,0.0,0.0,0.0,0.0,2446.5655,2376,212.5407,206
score-rnd_t(d=1 t=2),200000,4.562,18.248,100.0,100.0,100.0,99.883,95.2045,61.7315,9.581,0.026,0.0,0.0,0.0,0.0,0.0,0.0,2672.0507,2608,226.2752,223
score-rnd_t(d=1 t=3),200000,6.442,25.768,100.0,100.0,100.0,99.914,95.997,65.0445,11.1935,0.0235,0.0,0.0,0.0,0.0,0.0,0.0,2765.5057,2728,231.6752,229
score-rnd_t(d=1 t=4),200000,8.519,34.076,100.0,100.0,100.0,99.923,96.4295,66.7245,12.232,0.0395,0.0,0.0,0.0,0.0,0.0,0.0,2821.681,2784,234.8998,233
score-rnd_t(d=1 t=5),200000,10.301,41.201,100.0,100.0,100.0,99.934,96.6755,68.228,13.211,0.0475,0.0,0.0,0.0,0.0,0.0,0.0,2871.7043,2836,237.7474,236
score-rnd_t(d=1 t=6),200000,12.113,48.447,100.0,100.0,100.0,99.9415,96.906,69.315,13.9065,0.043,0.0,0.0,0.0,0.0,0.0,0.0,2911.049,2880,240.0526,239
score-rnd_t(d=1 t=7),200000,13.937,55.748,100.0,100.0,100.0,99.942,97.0665,70.1865,14.407,0.0635,0.0,0.0,0.0,0.0,0.0,0.0,2940.6864,2900,241.7925,240
score-rnd_t(d=1 t=8),200000,15.735,62.94,100.0,100.0,100.0,99.952,97.158,70.722,14.826,0.054,0.0,0.0,0.0,0.0,0.0,0.0,2962.2098,2920,243.0701,242
score-rnd_t(d=1 t=9),200000,17.607,70.428,100.0,100.0,100.0,99.95,97.222,71.271,15.389,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,2987.574,2940,244.549,243
score-rnd_t(d=1 t=10),200000,19.414,77.655,100.0,100.0,100.0,99.9415,97.3235,71.6105,15.6895,0.0595,0.0,0.0,0.0,0.0,0.0,0.0,3001.8061,2956,245.3762,244
score-rnd_t(d=2 t=1),200000,22.768,91.072,100.0,100.0,100.0,100.0,99.9855,98.797,81.2955,21.9415,0.0565,0.0,0.0,0.0,0.0,0.0,7292.8999,7016,482.1896,477
score-rnd_t(d=2 t=2),10000,3.871,15.482,100.0,100.0,100.0,100.0,100.0,99.42,88.11,33.48,0.21,0.0,0.0,0.0,0.0,0.0,8501.3932,7208,546.8636,498
score-rnd_t(d=2 t=3),10000,8.24,32.95,100.0,100.0,100.0,100.0,99.99,99.58,90.44,38.81,0.55,0.0,0.0,0.0,0.0,0.0,9055.8944,7328,575.6832,507
score-rnd_t(d=2 t=4),10000,14.735,58.933,100.0,100.0,100.0,100.0,100.0,99.72,91.22,41.62,0.68,0.0,0.0,0.0,0.0,0.0,9335.062,7408,590.1636,514
score-rnd_t(d=2 t=5),10000,22.478,89.902,100.0,100.0,100.0,100.0,100.0,99.75,91.67,43.81,0.78,0.0,0.0,0.0,0.0,0.0,9577.6288,7472,602.8752,520
score-rnd_t(d=2 t=6),2000,6.214,24.832,100.0,100.0,100.0,100.0,100.0,99.7,90.4,41.75,0.8,0.0,0.0,0.0,0.0,0.0,9404.606,7388,594.409,512
score-rnd_t(d=2 t=7),2000,8.515,34.029,100.0,100.0,100.0,100.0,100.0,99.95,92.95,44.5,0.6,0.0,0.0,0.0,0.0,0.0,9707.678,7508,610.508,524
score-rnd_t(d=2 t=8),2000,11.07,44.235,100.0,100.0,100.0,100.0,100.0,99.75,92.0,46.15,1.0,0.0,0.0,0.0,0.0,0.0,9834.19,7630,616.4255,530
score-rnd_t(d=2 t=9),2000,13.959,55.763,100.0,100.0,100.0,100.0,100.0,99.95,93.0,45.9,1.25,0.0,0.0,0.0,0.0,0.0,9918.658,7586,621.174,527
score-rnd_t(d=2 t=10),2000,17.304,69.142,100.0,100.0,100.0,100.0,100.0,99.85,92.9,47.6,1.4,0.0,0.0,0.0,0.0,0.0,10085.412,7858,629.6055,542.5
score-rnd_t(d=3 t=1),10000,5.543,22.167,100.0,100.0,100.0,100.0,100.0,99.85,94.57,54.79,2.17,0.0,0.0,0.0,0.0,0.0,10749.296,11738,658.7356,687.5
score-rnd_t(d=3 t=2),2000,8.366,33.415,100.0,100.0,100.0,100.0,100.0,100.0,98.45,76.9,12.7,0.0,0.0,0.0,0.0,0.0,14393.852,14664,839.3045,860.5
score-rnd_t(d=3 t=3),2000,27.807,111.18,100.0,100.0,100.0,100.0,100.0,100.0,99.0,83.9,18.35,0.0,0.0,0.0,0.0,0.0,15975.808,15824,915.4195,926.5
score-rnd_t(d=3 t=4),500,16.762,66.813,100.0,100.0,100.0,100.0,100.0,100.0,99.8,86.8,22.0,0.0,0.0,0.0,0.0,0.0,16616.064,16006,945.206,936
score-rnd_t(d=3 t=5),500,31.722,126.565,100.0,100.0,100.0,100.0,100.0,100.0,99.8,85.4,22.6,0.0,0.0,0.0,0.0,0.0,16897.632,16110,960.048,946
score-rnd_t(d=3 t=6),500,56.158,223.965,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,28.4,0.0,0.0,0.0,0.0,0.0,18033.056,16172,1012.482,954
score-rnd_t(d=3 t=7),500,88.151,351.635,100.0,100.0,100.0,100.0,100.0,100.0,99.4,87.6,30.4,0.0,0.0,0.0,0.0,0.0,18189.96,16186,1018.71,955
score-rnd_t(d=3 t=8),500,128.7,513.197,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.4,27.0,0.0,0.0,0.0,0.0,0.0,17912.992,16156,1007.764,953.5
score-rnd_t(d=3 t=9),500,181.453,724.246,100.0,100.0,100.0,100.0,100.0,100.0,99.2,86.6,26.8,0.0,0.0,0.0,0.0,0.0,17982.528,16156,1011.912,953.5
score-rnd_t(d=3 t=10),500,249.104,993.866,100.0,100.0,100.0,100.0,100.0,100.0,99.0,88.8,28.8,0.0,0.0,0.0,0.0,0.0,18168.624,16188,1020.144,955
score-rnd_t(d=4 t=1),10000,24.383,97.512,100.0,100.0,100.0,100.0,100.0,99.96,98.41,76.54,10.43,0.01,0.0,0.0,0.0,0.0,14051.17,14544,820.488,852
score-rnd_t(d=4 t=2),500,20.526,81.884,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.2,43.2,0.4,0.0,0.0,0.0,0.0,21391.712,16382,1167.456,972
score-rnd_t(d=4 t=3),500,104.53,416.577,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,56.8,0.6,0.0,0.0,0.0,0.0,24267.624,26726,1298.534,1383
score-rnd_t(d=4 t=4),500,343.337,1366.03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,62.8,2.2,0.0,0.0,0.0,0.0,25795.384,27274,1366.638,1417.5
score-rnd_t(d=4 t=5),500,834.368,3319.47,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,65.4,2.6,0.0,0.0,0.0,0.0,26905.0,27444,1421.442,1437
score-rnd_t(d=4 t=6),500,1691.59,6748.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.8,65.4,3.2,0.0,0.0,0.0,0.0,27143.4,27388,1431.144,1436.5
score-rnd_t(d=4 t=7),500,3145.69,12553.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.8,70.4,2.6,0.0,0.0,0.0,0.0,27820.064,27618,1462.624,1450.5
score-rnd_t(d=4 t=8),500,5259.31,21008,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,69.0,3.0,0.0,0.0,0.0,0.0,27639.312,27610,1452.286,1452
score-rnd_t(d=4 t=9),500,8585.23,34239.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.4,72.2,4.4,0.0,0.0,0.0,0.0,28639.616,31096,1497.034,1578.5
score-rnd_t(d=5 t=1),10000,95.719,382.829,100.0,100.0,100.0,100.0,100.0,99.99,99.19,84.43,20.37,0.02,0.0,0.0,0.0,0.0,16240.8332,15820,921.3637,921
score-rnd_t(d=5 t=2),500,176.497,704.838,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.4,67.4,4.0,0.0,0.0,0.0,0.0,27216.664,27320,1427.182,1431
score-rnd_t(d=5 t=3),500,1340.15,5341,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.2,75.0,6.0,0.0,0.0,0.0,0.0,30153.28,32432,1564.758,1665
score-rnd_t(d=5 t=4),500,6065.23,24122.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.2,83.2,11.8,0.0,0.0,0.0,0.0,33493.272,35476,1709.692,1819.5
score-rnd_t(d=5 t=5),500,18284.9,72843.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.8,85.0,13.2,0.0,0.0,0.0,0.0,34781.48,35808,1770.26,1844
score-rnd_t(d=5 t=6),500,45031.6,179414,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.4,85.6,15.0,0.0,0.0,0.0,0.0,35444.28,35696,1796.286,1840.5
score-mnmx(d=-1),500,4421.29,17574.6,100.0,100.0,100.0,100.0,100.0,100.0,99.6,90.6,30.6,0.0,0.0,0.0,0.0,0.0,18745.464,16232,1049.15,962
score-mnmx(d=0),500,285.569,1136.34,100.0,100.0,100.0,100.0,100.0,100.0,99.6,85.6,23.2,0.0,0.0,0.0,0.0,0.0,17014.144,16082,967.708,943
score-mnmx(d=1),200000,15.716,62.864,100.0,100.0,100.0,99.992,99.705,93.9615,62.286,15.345,0.3035,0.0,0.0,0.0,0.0,0.0,6799.1384,6320,468.28,446
score-mnmx(d=2),10000,31.56,126.207,100.0,100.0,100.0,100.0,100.0,99.67,91.39,43.12,1.07,0.0,0.0,0.0,0.0,0.0,9600.0588,7536,605.4902,525
score-mnmx(d=3),2000,217.869,870.821,100.0,100.0,100.0,100.0,100.0,99.95,98.05,70.8,6.65,0.0,0.0,0.0,0.0,0.0,13068.354,13234,780.2125,797.5
score-mnmx(d=4),500,1575.43,6284.6,100.0,100.0,100.0,100.0,100.0,100.0,99.0,82.2,18.4,0.0,0.0,0.0,0.0,0.0,15860.376,15730,913.134,923
score-mnmx(d=5),500,40594.3,161854,100.0,100.0,100.0,100.0,100.0,100.0,99.4,86.6,24.6,0.0,0.0,0.0,0.0,0.0,17423.728,16138,988.826,950
score-expmx(d=-1),500,12084.3,48130.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.6,28.6,0.0,0.0,0.0,0.0,40649.336,36266,2015.138,1881.5
score-expmx(d=0),500,548.24,2179.44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6,75.8,7.0,0.0,0.0,0.0,0.0,30510.704,32342,1580.82,1659.5
score-expmx(d=1),200000,18.418,73.672,100.0,100.0,100.0,99.99,99.6775,93.914,62.6655,15.4615,0.313,0.0,0.0,0.0,0.0,0.0,6828.3044,6364,469.9676,449
score-expmx(d=2),10000,77.178,308.641,100.0,100.0,100.0,100.0,100.0,99.93,95.67,56.95,3.4,0.0,0.0,0.0,0.0,0.0,11282.7276,12116,690.8191,717
score-expmx(d=3),2000,1273.32,5091.36,100.0,100.0,100.0,100.0,100.0,100.0,99.8,92.3,36.75,0.1,0.0,0.0,0.0,0.0,19903.034,16268,1101.3305,965
score-expmx(d=4),500,8778.06,35053.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.2,75.2,3.2,0.0,0.0,0.0,0.0,29214.448,32278,1528.612,1649
corner-rnd_t(d=1 t=1),200000,4.996,19.984,100.0,100.0,99.999,99.9365,98.7615,86.5525,35.9955,1.027,0.0,0.0,0.0,0.0,0.0,0.0,4585.0044,4112,349.2831,333
corner-rnd_t(d=1 t=2),200000,9.168,36.672,100.0,100.0,99.998,99.951,99.0855,89.8525,49.3105,3.4955,0.003,0.0,0.0,0.0,0.0,0.0,5427.106,4632,397.5091,371
corner-rnd_t(d=1 t=3),200000,13.15,52.595,100.0,100.0,99.9995,99.9585,99.1295,90.8305,52.487,4.3265,0.006,0.0,0.0,0.0,0.0,0.0,5673.8255,5400,411.8122,383
corner-rnd_t(d=1 t=4),200000,17.488,69.952,100.0,100.0,99.999,99.964,99.181,91.272,54.092,4.8135,0.008,0.0,0.0,0.0,0.0,0.0,5814.8954,5604,420.0782,394
corner-rnd_t(d=1 t=5),200000,21.396,85.584,100.0,100.0,100.0,99.974,99.238,91.8,55.8825,5.3365,0.006,0.0,0.0,0.0,0.0,0.0,5944.5446,5732,427.564,406
corner-rnd_t(d=1 t=6),200000,25.467,101.865,100.0,100.0,99.9995,99.968,99.2525,92.234,57.495,5.754,0.0095,0.0,0.0,0.0,0.0,0.0,6071.6116,5892,435.0768,417
corner-rnd_t(d=1 t=7),200000,29.508,118.029,100.0,100.0,100.0,99.9695,99.3465,92.5245,58.487,6.1455,0.0145,0.0,0.0,0.0,0.0,0.0,6164.8314,6024,440.4528,426
corner-rnd_t(d=1 t=8),200000,33.587,134.348,100.0,100.0,100.0,99.976,99.342,92.8645,59.586,6.433,0.009,0.0,0.0,0.0,0.0,0.0,6251.6528,6092,445.6033,432
corner-rnd_t(d=1 t=9),200000,37.835,151.34,100.0,100.0,99.9995,99.9625,99.319,93.174,60.66,6.84,0.014,0.0,0.0,0.0,0.0,0.0,6349.8175,6220,451.2506,439
corner-rnd_t(d=1 t=10),200000,42.017,168.068,100.0,100.0,100.0,99.9735,99.361,93.449,61.5255,7.105,0.0175,0.0,0.0,0.0,0.0,0.0,6422.3338,6328,455.5634,445
corner-rnd_t(d=2 t=1),200000,23.535,94.137,100.0,100.0,100.0,99.9975,99.676,92.8235,62.5355,17.474,0.3585,0.0,0.0,0.0,0.0,0.0,6618.2156,6208,448.9915,430
corner-rnd_t(d=2 t=2),10000,4.501,18,100.0,100.0,100.0,100.0,99.85,96.0,74.5,32.46,2.18,0.0,0.0,0.0,0.0,0.0,8677.2616,7328,557.9899,506
corner-rnd_t(d=2 t=3),10000,10.583,42.332,100.0,100.0,100.0,100.0,99.84,97.09,80.46,43.18,6.21,0.0,0.0,0.0,0.0,0.0,10338.2308,8104,640.9329,562
corner-rnd_t(d=2 t=4),10000,20.538,82.132,100.0,100.0,100.0,100.0,99.94,97.89,84.58,51.99,10.59,0.04,0.0,0.0,0.0,0.0,11867.9296,11306,715.5669,681
corner-rnd_t(d=2 t=5),10000,33.619,134.468,100.0,100.0,100.0,100.0,99.92,98.37,86.85,58.04,15.28,0.22,0.0,0.0,0.0,0.0,13234.4524,12306,781.4109,741.5
corner-rnd_t(d=2 t=6),2000,10.141,40.524,100.0,100.0,100.0,100.0,100.0,98.5,89.3,62.8,19.45,0.65,0.0,0.0,0.0,0.0,14414.51,12898,836.5875,779.5
corner-rnd_t(d=2 t=7),2000,14.674,58.616,100.0,100.0,100.0,100.0,100.0,99.0,91.3,68.35,24.3,0.85,0.0,0.0,0.0,0.0,15870.092,14638,906.38,861
corner-rnd_t(d=2 t=8),2000,19.373,77.372,100.0,100.0,100.0,100.0,100.0,99.05,90.75,67.85,28.05,0.8,0.0,0.0,0.0,0.0,16331.582,15158,926.696,886
corner-rnd_t(d=2 t=9),2000,25.402,101.434,100.0,100.0,100.0,100.0,99.95,99.15,92.95,73.35,28.55,1.3,0.0,0.0,0.0,0.0,17231.174,15866,970.647,934
corner-rnd_t(d=2 t=10),2000,32.325,129.199,100.0,100.0,100.0,100.0,99.95,99.4,93.6,74.1,32.55,1.25,0.0,0.0,0.0,0.0,18080.23,16170,1011.4955,953.5
